
running 1 test
phase_a	id	profile	width	height	pixels	tokens	literals	copies	caches	blocks	signature_differences	assignment_differences	ordered_groups	exact_groups	ordered_candidate_bytes	exact_candidate_bytes	candidate_byte_delta	ordered_product_bytes	exact_product_bytes	product_byte_delta	ordered_candidate_ns	exact_candidate_ns	ordered_product_ns	exact_product_ns	ordered_plan_ns	initialization_ns	update_ns	signature_cluster_ns	merge_ns	update_count	merge_updates	storage_bytes
phase_a	clic-validation-038	compact	1512	2016	3048192	2948506	2934202	14304	0	192	129	187	37	31	8140256	7748200	-392056	8140256	7748200	-392056	77797667	40640667	97499875	59934417	35703958	4416	8379333	388667	122875	11765416	58762	402816
phase_a	clic-validation-038	low-latency	1512	2016	3048192	2948506	2934202	14304	0	48	30	36	16	14	8129706	8136526	6820	8129706	8136526	6820	74788083	36060958	91444667	56225625	36366500	2583	8515708	101833	37292	11765416	20005	201408
phase_a	clic-validation-039	compact	1512	2016	3048192	2913616	2904353	9263	0	192	110	142	29	24	7163302	7084842	-78460	7163302	7084842	-78460	77893125	39891375	98568042	59900125	36787250	3875	8350917	412542	120750	11635938	43433	402816
phase_a	clic-validation-039	low-latency	1512	2016	3048192	2913616	2904353	9263	0	48	33	39	16	16	7174990	7122814	-52176	7174990	7122814	-52176	75390083	36448125	91985333	54441500	37881292	2791	8468875	102250	33708	11635938	14594	201408
phase_a	clic-validation-040	compact	2016	1512	3048192	3002751	2990300	12451	0	192	92	152	20	12	6948508	7354336	405828	6948508	7354336	405828	77868875	40432167	99024334	61056709	36065833	3500	8776833	392000	108208	11986102	33600	402816
phase_a	clic-validation-040	low-latency	2016	1512	3048192	3002751	2990300	12451	0	48	28	47	12	9	7112000	7317914	205914	7112000	7317914	205914	76969000	38710792	95576959	58147959	38012708	3084	8599542	99125	35584	11986102	11220	201408
phase_a	clic-validation-041	compact	2016	1512	3048192	3033006	3027933	5073	0	192	121	145	38	28	8085038	8144750	59712	8085038	8144750	59712	79496834	38790000	96516709	56604625	39355000	4500	8736250	405542	128917	12121878	57048	402816
phase_a	clic-validation-041	low-latency	2016	1512	3048192	3033006	3027933	5073	0	48	35	45	16	15	8245686	8242854	-2832	8245686	8242854	-2832	78158209	35869208	93560500	54427542	38241167	3917	8375250	96500	34459	12121878	20115	201408
phase_a	clic-validation-042	compact	2016	1512	3048192	3036434	3032265	4169	0	192	158	175	55	37	8347186	8445584	98398	8347186	8445584	98398	78059708	40088584	95830833	59167125	36320250	3958	8452458	404000	137417	12137398	77798	402816
phase_a	clic-validation-042	low-latency	2016	1512	3048192	3036434	3032265	4169	0	48	42	40	16	14	8621620	8751944	130324	8621620	8751944	130324	75776208	36374667	96023084	54698084	36592959	2250	8594167	122125	45584	12137398	26129	201408
