
running 1 test
p16	id	profile	rgba_bytes	blocks	counter_init_ns	counter_update_ns	counter_updates	counter_storage_bytes	self_cost_ns	e_proposal_ns	b_proposal_ns	e_cost_ns	b_cost_ns	p15_reassignment_ns	p15_rebuild_ns	refined_cost_ns	selection_ns	e_merge_updates	b_merge_updates	refined_merge_updates	split_merge_updates	retained_plan_bytes	e_bits	e_payload_bytes	e_riff_bytes	e_groups	b_bits	b_payload_bytes	b_riff_bytes	b_groups	refined_bits	refined_payload_bytes	refined_riff_bytes	refined_groups	split_bits	split_payload_bytes	split_riff_bytes	split_groups	single_riff_bytes	control_riff_bytes	initial_kind	selected_kind	final_kind	final_riff_bytes	final_hash	growth_steps	public_exact	eb_selector_exact	final_selector_exact
p16-step	id	profile	iteration	before_groups	resulting_groups	source_group	seed_one	seed_two	regret	seed_penalty	old_partition_blocks	new_partition_blocks	regret_ns	seed_ns	partition_ns	split_rebuild_ns	split_ns	reassignment_ns	rebuild_ns	exact_cost_ns	before_riff_bytes	candidate_riff_bytes	riff_delta	accepted	assignments_stable
p16-step	clic-validation-002	compact	33	54	55	1	108	117	22285	18902	4	2	666375	108875	195500	115500	1086416	1891042	105084	1058625	5261918	5257532	-4386	1	0
p16-step	clic-validation-002	compact	34	55	56	34	77	84	20947	11918	3	1	612375	48792	60541	100917	822667	1730125	100584	964041	5257532	5253894	-3638	1	0
p16-step	clic-validation-002	compact	35	56	57	8	75	69	20800	29542	2	2	561917	49041	75917	90917	777875	1770250	102083	1090292	5253894	5248378	-5516	1	0
p16-step	clic-validation-002	compact	36	57	58	39	82	64	19781	13308	2	2	574709	49291	62583	99875	786542	1762542	91208	977000	5248378	5245802	-2576	1	0
p16-step	clic-validation-002	compact	37	58	59	44	134	119	19579	17245	3	3	568833	103708	158375	89750	920708	1759791	93500	991625	5245802	5239732	-6070	1	0
p16-step	clic-validation-002	compact	38	59	60	30	52	90	19371	8445	2	7	580875	186083	378958	113916	1260125	1983583	91792	1059959	5239732	5235046	-4686	1	0
p16-step	clic-validation-002	compact	39	60	61	37	131	103	18693	14758	3	2	592792	85333	123542	88459	890250	1838375	90625	1026250	5235046	5231240	-3806	1	0
p16-step	clic-validation-002	compact	40	61	62	4	27	30	18365	17215	2	2	601958	46666	57417	90792	797000	1888041	108625	1246709	5231240	5227726	-3514	1	0
p16-step	clic-validation-002	compact	41	62	63	0	78	97	18079	17517	3	2	664750	66708	116875	115083	963458	2025750	105583	1181083	5227726	5224648	-3078	1	0
p16-step	clic-validation-002	compact	42	63	64	7	100	102	17032	20207	1	1	634084	26916	4584	89791	755417	1922250	90833	1079166	5224648	5222122	-2526	1	0
p16	clic-validation-002	low-latency	9437184	40	3292	4796500	9434830	168480	1184125	117041	62625	291292	287459	300709	25291	269792	1958	13272	13272	13272	13272	243480	48147655	6018457	6018478	13	48655542	6081943	6081964	13	48147655	6018457	6018478	13	46151232	5768904	5768924	16	7003512	5942826	E	Split	Split	5768924	2c8cef912c5c5eea	3	1	1	1
p16-step	clic-validation-002	low-latency	1	13	14	0	18	8	378872	310611	3	6	172959	160667	306166	28042	667959	304000	26917	285667	6018478	5904582	-113896	1	0
p16-step	clic-validation-002	low-latency	2	14	15	6	4	11	357804	425231	2	1	176750	40292	39042	24917	281084	294084	26667	294167	5904582	5804180	-100402	1	0
p16-step	clic-validation-002	low-latency	3	15	16	13	23	8	237264	209420	1	5	179166	113542	180875	25750	499458	383791	36125	393083	5804180	5768924	-35256	1	0
p16	clic-validation-003	compact	9437184	144	3875	4986416	9406614	304416	4311041	408833	130375	540667	611750	1355375	92041	574250	4044	40364	40364	40364	40364	619936	49003124	6125391	6125412	24	48781066	6097634	6097654	26	47573080	5946635	5946656	26	43996650	5499582	5499602	64	6632596	6050450	R	Split	Split	5499602	edafd8cd4efcf311	38	1	1	1
p16-step	clic-validation-003	compact	1	26	27	6	21	84	157762	152016	1	17	454208	375708	880875	123167	1834041	1302042	93792	568916	5946656	5912438	-34218	1	0
p16-step	clic-validation-003	compact	2	27	28	11	14	27	106116	105804	5	10	413417	233500	474458	84500	1205958	1297459	94959	584792	5912438	5884868	-27570	1	0
p16-step	clic-validation-003	compact	3	28	29	24	118	119	98152	95146	1	1	406000	23959	2625	88542	521250	1289541	84417	577584	5884868	5872356	-12512	1	0
p16-step	clic-validation-003	compact	4	29	30	2	126	71	91263	85692	3	9	431375	232833	418084	82708	1165042	1369750	114458	717084	5872356	5842852	-29504	1	0
p16-step	clic-validation-003	compact	5	30	31	4	65	64	86232	81675	2	6	480334	152916	253125	102292	988709	1383750	87625	614833	5842852	5827926	-14926	1	0
p16-step	clic-validation-003	compact	6	31	32	27	26	30	79042	79114	7	5	415625	191958	355333	91208	1054208	1394125	93833	629709	5827926	5817906	-10020	1	0
p16-step	clic-validation-003	compact	7	32	33	2	42	41	77816	73350	6	5	438375	151333	299250	90416	979500	1334875	116375	726917	5817906	5789372	-28534	1	0
p16-step	clic-validation-003	compact	8	33	34	26	5	84	73772	69949	6	9	511500	330459	602917	97125	1542166	1585542	107833	747875	5789372	5773650	-15722	1	0
p16-step	clic-validation-003	compact	9	34	35	7	0	115	72997	67022	4	6	524875	172333	309083	92333	1098708	1429833	91250	692625	5773650	5761928	-11722	1	0
p16-step	clic-validation-003	compact	10	35	36	27	26	99	68861	41448	3	5	471667	125625	194750	87250	879375	1590708	98292	865042	5761928	5729690	-32238	1	0
p16-step	clic-validation-003	compact	11	36	37	1	107	52	67206	56595	1	7	549292	169666	290542	104792	1114459	1654166	97750	776167	5729690	5721872	-7818	1	0
p16-step	clic-validation-003	compact	12	37	38	26	102	93	64009	51629	6	2	528625	148916	242959	111500	1032125	1656208	96333	767125	5721872	5712964	-8908	1	0
p16-step	clic-validation-003	compact	13	38	39	20	137	68	60476	56354	1	1	480625	24125	2542	84750	592166	1597167	115125	819375	5712964	5705920	-7044	1	0
p16-step	clic-validation-003	compact	14	39	40	26	102	5	58421	26745	3	3	495000	97458	158500	97375	848459	1596459	88084	762667	5705920	5693086	-12834	1	0
p16-step	clic-validation-003	compact	15	40	41	7	0	75	57333	49442	2	2	522083	62833	79042	85750	749750	1544542	99500	774292	5693086	5685420	-7666	1	0
p16-step	clic-validation-003	compact	16	41	42	11	14	56	57266	60124	3	2	505750	63709	92208	86083	747875	1557292	87125	770583	5685420	5672282	-13138	1	0
p16-step	clic-validation-003	compact	17	42	43	10	135	10	54037	50832	2	6	497125	163125	266250	85291	1011875	1633833	85750	795667	5672282	5664714	-7568	1	0
p16-step	clic-validation-003	compact	18	43	44	29	78	141	50921	45152	5	5	507958	170875	340542	88666	1108083	1667708	92292	830416	5664714	5649018	-15696	1	0
p16-step	clic-validation-003	compact	19	44	45	25	139	92	47094	43590	1	1	550833	21791	2625	89375	664708	1749292	108833	1038542	5649018	5643570	-5448	1	0
p16-step	clic-validation-003	compact	20	45	46	39	5	4	46757	19669	2	1	585834	40875	39917	87750	754500	1634209	88250	867584	5643570	5636086	-7484	1	0
p16-step	clic-validation-003	compact	21	46	47	32	125	41	46306	41823	2	3	547041	71292	105083	104917	828416	1664417	109541	918416	5636086	5627206	-8880	1	0
