id	layout	base_bytes	control_bytes	candidate_bytes	base_sha256	control_sha256	candidate_sha256	base_control_length	base_control_sha256	base_control_full_byte	base_candidate_length	base_candidate_sha256	base_candidate_full_byte	control_candidate_length	control_candidate_sha256	control_candidate_full_byte	base_project_exact	control_project_exact	candidate_project_exact
clic-validation-015	default	5769074	5769074	5769074	952c19851c58eb31c904d80dbf8471e3c1852fd85a8193673cef39bbc0b774c4	952c19851c58eb31c904d80dbf8471e3c1852fd85a8193673cef39bbc0b774c4	952c19851c58eb31c904d80dbf8471e3c1852fd85a8193673cef39bbc0b774c4	1	1	1	1	1	1	1	1	1	1	1	1
clic-validation-015	compact	5656200	5656200	5656200	2bf7e29200e43f63d2313332321eee06a4cbec812f6f7fe0fccc75d12e76bec0	2bf7e29200e43f63d2313332321eee06a4cbec812f6f7fe0fccc75d12e76bec0	2bf7e29200e43f63d2313332321eee06a4cbec812f6f7fe0fccc75d12e76bec0	1	1	1	1	1	1	1	1	1	1	1	1
clic-validation-015	low-latency	5684412	5684412	5684412	c6e6b56cc341b26466a4a99112dba8b44256a62d633f70297a833d8a965f2615	c6e6b56cc341b26466a4a99112dba8b44256a62d633f70297a833d8a965f2615	c6e6b56cc341b26466a4a99112dba8b44256a62d633f70297a833d8a965f2615	1	1	1	1	1	1	1	1	1	1	1	1
clic-validation-016	default	5331074	5331074	5331074	e1629d116a2e32a25c9e40b493680c72cac20b791ce0b8fa22d7ee0db3dfa645	e1629d116a2e32a25c9e40b493680c72cac20b791ce0b8fa22d7ee0db3dfa645	e1629d116a2e32a25c9e40b493680c72cac20b791ce0b8fa22d7ee0db3dfa645	1	1	1	1	1	1	1	1	1	1	1	1
clic-validation-016	compact	4555750	4555750	4555750	58f063c0624fced1035134cbbd7080089cf4ebc1751ebf3c75812069bb3e0543	58f063c0624fced1035134cbbd7080089cf4ebc1751ebf3c75812069bb3e0543	58f063c0624fced1035134cbbd7080089cf4ebc1751ebf3c75812069bb3e0543	1	1	1	1	1	1	1	1	1	1	1	1
clic-validation-016	low-latency	4701704	4701704	4701704	59d8731b778639bb58c6487b5a7ce3bee48e3ed40427e35536f44ea86212d27b	59d8731b778639bb58c6487b5a7ce3bee48e3ed40427e35536f44ea86212d27b	59d8731b778639bb58c6487b5a7ce3bee48e3ed40427e35536f44ea86212d27b	1	1	1	1	1	1	1	1	1	1	1	1
clic-validation-017	default	6910582	6910582	6910582	af59fbfdac61e217c815935b3e4db6d0c49c79bb2590abae2b89f444c099a311	af59fbfdac61e217c815935b3e4db6d0c49c79bb2590abae2b89f444c099a311	af59fbfdac61e217c815935b3e4db6d0c49c79bb2590abae2b89f444c099a311	1	1	1	1	1	1	1	1	1	1	1	1
clic-validation-017	compact	6691500	6691500	6691500	c292ccc118db2a047889d7291ebe886a96df2f9e046caed50ec213ba81521249	c292ccc118db2a047889d7291ebe886a96df2f9e046caed50ec213ba81521249	c292ccc118db2a047889d7291ebe886a96df2f9e046caed50ec213ba81521249	1	1	1	1	1	1	1	1	1	1	1	1
clic-validation-017	low-latency	6719656	6719656	6719656	e179d24b01bbe4e8be5b051880547863c28ab4b30f9c8ab97b2519ece50adece	e179d24b01bbe4e8be5b051880547863c28ab4b30f9c8ab97b2519ece50adece	e179d24b01bbe4e8be5b051880547863c28ab4b30f9c8ab97b2519ece50adece	1	1	1	1	1	1	1	1	1	1	1	1
clic-validation-018	default	5479718	5479718	5479718	8c68dcbbb7b6546083c2d7dbced76e386fb5efd51b168c36336c304f36a351be	8c68dcbbb7b6546083c2d7dbced76e386fb5efd51b168c36336c304f36a351be	8c68dcbbb7b6546083c2d7dbced76e386fb5efd51b168c36336c304f36a351be	1	1	1	1	1	1	1	1	1	1	1	1
clic-validation-018	compact	5115144	5115144	5115144	0cbe2ca85c119e547b298d7a4a5a5a66e9b0e9e54121c827e6259a782fd6baad	0cbe2ca85c119e547b298d7a4a5a5a66e9b0e9e54121c827e6259a782fd6baad	0cbe2ca85c119e547b298d7a4a5a5a66e9b0e9e54121c827e6259a782fd6baad	1	1	1	1	1	1	1	1	1	1	1	1
clic-validation-018	low-latency	5118420	5118420	5118420	02cf183ec281c5e4d16e8a594d64dd6b55987bfb7425495a6eb333f12cd4ff18	02cf183ec281c5e4d16e8a594d64dd6b55987bfb7425495a6eb333f12cd4ff18	02cf183ec281c5e4d16e8a594d64dd6b55987bfb7425495a6eb333f12cd4ff18	1	1	1	1	1	1	1	1	1	1	1	1
clic-validation-019	default	4600256	4600256	4600256	8f258a1ef56f6e51ee39199102d21f2da4905ec7d549f6ea2f3760cb4f3235ed	8f258a1ef56f6e51ee39199102d21f2da4905ec7d549f6ea2f3760cb4f3235ed	8f258a1ef56f6e51ee39199102d21f2da4905ec7d549f6ea2f3760cb4f3235ed	1	1	1	1	1	1	1	1	1	1	1	1
clic-validation-019	compact	5039696	5039696	5039696	25da1388cac1646e9fdcc7c812ed2a11050227bb2e06f3990695f7b5e27ee82e	25da1388cac1646e9fdcc7c812ed2a11050227bb2e06f3990695f7b5e27ee82e	25da1388cac1646e9fdcc7c812ed2a11050227bb2e06f3990695f7b5e27ee82e	1	1	1	1	1	1	1	1	1	1	1	1
clic-validation-019	low-latency	5108948	5108948	5108948	2f7d8431ea7fbacf05909e9a0953db42f1d7281df28473d65c3c435ab57621f6	2f7d8431ea7fbacf05909e9a0953db42f1d7281df28473d65c3c435ab57621f6	2f7d8431ea7fbacf05909e9a0953db42f1d7281df28473d65c3c435ab57621f6	1	1	1	1	1	1	1	1	1	1	1	1
clic-validation-020	default	6941342	6941342	6941342	61eb2db42003d707f990a6c6b743a150320ba3a2c8ebec2167153dab1cdacfd3	61eb2db42003d707f990a6c6b743a150320ba3a2c8ebec2167153dab1cdacfd3	61eb2db42003d707f990a6c6b743a150320ba3a2c8ebec2167153dab1cdacfd3	1	1	1	1	1	1	1	1	1	1	1	1
clic-validation-020	compact	6358216	6358216	6358216	d69d02887bb98cccc7d432d850e580f504ca29b96d2bcff1a016c6dd710516e3	d69d02887bb98cccc7d432d850e580f504ca29b96d2bcff1a016c6dd710516e3	d69d02887bb98cccc7d432d850e580f504ca29b96d2bcff1a016c6dd710516e3	1	1	1	1	1	1	1	1	1	1	1	1
clic-validation-020	low-latency	6430820	6430820	6430820	ef2f1dc85ca94255109c18392b95276cf5913be7c241d8bd75634a7331e2c86a	ef2f1dc85ca94255109c18392b95276cf5913be7c241d8bd75634a7331e2c86a	ef2f1dc85ca94255109c18392b95276cf5913be7c241d8bd75634a7331e2c86a	1	1	1	1	1	1	1	1	1	1	1	1
clic-validation-021	default	4572734	4572734	4572734	45c3e99e028f0cdb816ae9ecb022ccf614cad222ce01dc99f448a37b35922ade	45c3e99e028f0cdb816ae9ecb022ccf614cad222ce01dc99f448a37b35922ade	45c3e99e028f0cdb816ae9ecb022ccf614cad222ce01dc99f448a37b35922ade	1	1	1	1	1	1	1	1	1	1	1	1
clic-validation-021	compact	4565070	4565070	4565070	91cd202f840c3273274b71c651969e00deb7bd20720355904c1cc3c9ec8d85e9	91cd202f840c3273274b71c651969e00deb7bd20720355904c1cc3c9ec8d85e9	91cd202f840c3273274b71c651969e00deb7bd20720355904c1cc3c9ec8d85e9	1	1	1	1	1	1	1	1	1	1	1	1
clic-validation-021	low-latency	4693378	4693378	4693378	71de9ebf05e1c6fe6e2c2bfc31b7a64164262a807201f36c57fc13ae89758f64	71de9ebf05e1c6fe6e2c2bfc31b7a64164262a807201f36c57fc13ae89758f64	71de9ebf05e1c6fe6e2c2bfc31b7a64164262a807201f36c57fc13ae89758f64	1	1	1	1	1	1	1	1	1	1	1	1
