
running 1 test
p16	id	profile	rgba_bytes	blocks	counter_init_ns	counter_update_ns	counter_updates	counter_storage_bytes	self_cost_ns	e_proposal_ns	b_proposal_ns	e_cost_ns	b_cost_ns	p15_reassignment_ns	p15_rebuild_ns	refined_cost_ns	selection_ns	e_merge_updates	b_merge_updates	refined_merge_updates	split_merge_updates	retained_plan_bytes	e_bits	e_payload_bytes	e_riff_bytes	e_groups	b_bits	b_payload_bytes	b_riff_bytes	b_groups	refined_bits	refined_payload_bytes	refined_riff_bytes	refined_groups	split_bits	split_payload_bytes	split_riff_bytes	split_groups	single_riff_bytes	control_riff_bytes	initial_kind	selected_kind	final_kind	final_riff_bytes	final_hash	growth_steps	public_exact	eb_selector_exact	final_selector_exact
p16-step	id	profile	iteration	before_groups	resulting_groups	source_group	seed_one	seed_two	regret	seed_penalty	old_partition_blocks	new_partition_blocks	regret_ns	seed_ns	partition_ns	split_rebuild_ns	split_ns	reassignment_ns	rebuild_ns	exact_cost_ns	before_riff_bytes	candidate_riff_bytes	riff_delta	accepted	assignments_stable
p16-step	clic-validation-003	compact	10	35	36	27	26	99	68861	41448	3	5	503459	111000	193667	94875	903125	1443750	86792	671875	5761928	5729690	-32238	1	0
p16-step	clic-validation-003	compact	11	36	37	1	107	52	67206	56595	1	7	468542	159042	307500	81500	1016708	1463208	88250	694084	5729690	5721872	-7818	1	0
p16-step	clic-validation-003	compact	12	37	38	26	102	93	64009	51629	6	2	480708	132375	222958	83834	919875	1571417	106917	829500	5721872	5712964	-8908	1	0
p16-step	clic-validation-003	compact	13	38	39	20	137	68	60476	56354	1	1	532083	25167	2875	100875	661083	1670083	104458	776917	5712964	5705920	-7044	1	0
p16-step	clic-validation-003	compact	14	39	40	26	102	5	58421	26745	3	3	490875	93459	144166	98875	827375	1518833	96875	709709	5705920	5693086	-12834	1	0
p16-step	clic-validation-003	compact	15	40	41	7	0	75	57333	49442	2	2	516417	57000	72125	91583	737250	1559583	144625	793667	5693086	5685420	-7666	1	0
p16-step	clic-validation-003	compact	16	41	42	11	14	56	57266	60124	3	2	508291	64459	90292	89000	752125	1590709	89000	739250	5685420	5672282	-13138	1	0
p16-step	clic-validation-003	compact	17	42	43	10	135	10	54037	50832	2	6	501125	151875	256375	87875	997333	1571584	89750	764875	5672282	5664714	-7568	1	0
p16-step	clic-validation-003	compact	18	43	44	29	78	141	50921	45152	5	5	508666	164000	294750	87167	1054666	1683667	101833	913125	5664714	5649018	-15696	1	0
p16-step	clic-validation-003	compact	19	44	45	25	139	92	47094	43590	1	1	592916	22833	2917	95750	714500	1746500	101584	892875	5649018	5643570	-5448	1	0
p16-step	clic-validation-003	compact	20	45	46	39	5	4	46757	19669	2	1	544750	39750	37917	87083	709583	1637083	90000	807375	5643570	5636086	-7484	1	0
p16-step	clic-validation-003	compact	21	46	47	32	125	41	46306	41823	2	3	531833	69833	100417	93583	795750	1763500	100000	971000	5636086	5627206	-8880	1	0
