
running 1 test
phase_b	id	profile	width	height	pixels	blocks	ordered_exact_signature_differences	ordered_coarse_signature_differences	exact_coarse_signature_differences	ordered_exact_assignment_differences	ordered_coarse_assignment_differences	exact_coarse_assignment_differences	ordered_groups	exact_groups	coarse_groups	ordered_product_bytes	exact_product_bytes	coarse_product_bytes	exact_byte_delta	coarse_byte_delta	exact_derivation_ns	coarse_derivation_ns	exact_signature_cluster_ns	coarse_signature_cluster_ns
phase_b	clic-validation-053	compact	1518	2024	3072432	192	129	129	64	148	148	95	27	22	21	7672802	7690132	7632642	17330	-40160	379959	38625	398292	55584
phase_b	clic-validation-053	low-latency	1518	2024	3072432	48	34	35	20	41	43	28	16	15	12	7683910	7723534	7729532	39624	45622	96834	25250	101959	29208
phase_b	clic-validation-054	compact	1518	2024	3072432	192	102	111	50	129	151	136	32	26	27	7105098	7156370	7110202	51272	5104	389667	40625	413000	60958
phase_b	clic-validation-054	low-latency	1518	2024	3072432	48	31	35	26	36	35	26	16	16	16	7334782	7100988	7218298	-233794	-116484	98834	26208	105417	30417
phase_b	clic-validation-055	compact	2024	1518	3072432	192	103	107	48	172	173	163	19	17	15	7806344	7555114	7643716	-251230	-162628	394583	40542	406375	53666
phase_b	clic-validation-055	low-latency	2024	1518	3072432	48	34	33	13	35	40	34	16	13	11	7568426	7685310	7711228	116884	142802	3343792	45000	146292	50167
phase_b	clic-validation-056	compact	1632	1224	1997568	130	98	99	43	103	119	114	30	27	24	5090268	5019018	5053444	-71250	-36824	367250	55167	385208	51167
phase_b	clic-validation-056	low-latency	1632	1224	1997568	35	28	31	21	31	32	31	16	15	15	5167842	5101444	5142466	-66398	-25376	147708	35000	111708	38333
phase_b	clic-validation-057	compact	1224	1632	1997568	130	87	81	34	115	107	88	38	26	20	5021628	5070320	5114842	48692	93214	260416	26625	282625	46417
phase_b	clic-validation-057	low-latency	1224	1632	1997568	35	24	23	11	34	28	33	16	13	13	5152288	5144894	5144676	-7394	-7612	70167	17625	71417	20750
phase_b	clic-validation-058	compact	1632	1224	1997568	130	74	77	29	125	111	85	30	24	19	4943622	4984464	5037634	40842	94012	255333	26542	276792	37667
phase_b	clic-validation-058	low-latency	1632	1224	1997568	35	23	23	7	35	28	27	15	10	10	4935030	5051728	5010492	116698	75462	69458	18583	72917	20708
phase_b	clic-validation-059	compact	1632	1224	1997568	130	77	78	43	122	119	113	24	21	22	3595402	3587922	3538988	-7480	-56414	265334	27375	277542	38584
phase_b	clic-validation-059	low-latency	1632	1224	1997568	35	25	22	15	32	27	27	15	14	15	3675422	3630358	3602966	-45064	-72456	71667	19209	78000	22917
phase_b	clic-validation-060	compact	1224	1632	1997568	130	90	84	66	116	122	90	24	17	14	4515910	4505564	4525912	-10346	10002	263708	27375	276333	36917
phase_b	clic-validation-060	low-latency	1224	1632	1997568	35	29	23	18	33	27	35	11	10	10	4575774	4560074	4501378	-15700	-74396	76291	19375	76541	21417
phase_b	clic-validation-061	compact	2048	1363	2791424	176	111	114	51	128	130	102	29	21	16	7438600	7432266	7455652	-6334	17052	356167	35875	364625	48792
phase_b	clic-validation-061	low-latency	2048	1363	2791424	48	33	37	18	34	39	30	16	12	10	7429254	7499150	7494744	69896	65490	90917	24333	99583	26875
phase_b	clic-validation-062	compact	2048	1339	2742272	176	107	102	32	139	115	87	32	25	21	6121602	6082810	6154424	-38792	32822	331416	38708	367334	47791
phase_b	clic-validation-062	low-latency	2048	1339	2742272	48	28	31	14	30	32	23	15	11	9	6162162	6237708	6251084	75546	88922	91334	24083	95292	26958
phase_b	clic-validation-063	compact	2048	1188	2433024	160	132	119	66	150	147	102	51	32	36	6445414	6495158	6470828	49744	25414	322750	34125	341417	59375
phase_b	clic-validation-063	low-latency	2048	1188	2433024	40	31	31	15	32	34	36	16	15	14	6534318	6531214	6522036	-3104	-12282	78667	20292	84459	23792
phase_b	clic-validation-064	compact	2048	1361	2787328	176	153	149	106	162	168	143	63	42	40	7719328	7830392	7755540	111064	36212	334875	37334	375584	61333
phase_b	clic-validation-064	low-latency	2048	1361	2787328	48	45	47	33	43	41	40	16	16	16	7878280	7972894	7920004	94614	41724	91209	24125	100625	28500
phase_b	clic-validation-065	compact	2048	1365	2795520	176	99	99	60	133	100	110	24	14	18	6898214	6910974	6932094	12760	33880	340125	34417	344500	47250
phase_b	clic-validation-065	low-latency	2048	1365	2795520	48	32	28	19	32	34	28	12	7	8	6856728	7089072	6954310	232344	97582	90917	24250	94334	28375
phase_b	clic-validation-066	compact	1632	915	1493280	104	68	63	50	97	75	103	26	15	12	3437954	3517224	3600472	79270	162518	217583	20500	213750	26208
phase_b	clic-validation-066	low-latency	1632	915	1493280	28	21	21	17	27	25	28	16	7	7	3463560	3619340	3627208	155780	163648	53167	15792	59916	15458
phase_b	clic-validation-067	compact	2048	1361	2787328	176	146	145	86	173	168	152	47	49	43	7149540	7147452	7178612	-2088	29072	331917	34209	363625	61791
phase_b	clic-validation-067	low-latency	2048	1361	2787328	48	43	43	31	45	46	42	16	16	16	7399782	7352182	7278776	-47600	-121006	91000	24167	100792	29208
phase_b	clic-validation-068	compact	2048	1365	2795520	176	122	117	38	157	161	155	42	26	26	7005466	7214844	7165588	209378	160122	346209	34584	352083	51333
phase_b	clic-validation-068	low-latency	2048	1365	2795520	48	38	39	12	44	42	39	16	16	16	7198452	7227704	7176710	29252	-21742	95917	25167	103292	29167
phase_b	clic-validation-069	compact	2048	1360	2785280	176	71	78	30	104	103	79	12	13	12	6211560	6184396	6079748	-27164	-131812	334208	34125	362167	42916
phase_b	clic-validation-069	low-latency	2048	1360	2785280	48	23	27	8	29	43	42	12	9	10	6218740	6272848	6283630	54108	64890	91125	24084	98417	26583
phase_b	clic-validation-070	compact	2048	1365	2795520	176	125	112	68	155	156	141	27	31	25	7163008	7087362	7087560	-75646	-75448	335958	34292	354208	51500
phase_b	clic-validation-070	low-latency	2048	1365	2795520	48	32	32	13	43	34	35	16	16	16	7230868	7214744	7183898	-16124	-46970	91250	23958	96458	28000
phase_b	clic-validation-071	compact	1500	844	1266000	84	55	54	26	57	60	33	18	15	13	3221288	3222954	3235748	1666	14460	158417	16542	164666	21833
phase_b	clic-validation-071	low-latency	1500	844	1266000	24	16	18	7	16	17	12	10	8	8	3213510	3216572	3177996	3062	-35514	49041	12917	51250	14042
phase_b	clic-validation-072	compact	1945	1292	2512940	176	118	102	77	161	135	145	28	27	24	5618140	5699400	5671416	81260	53276	335208	34250	360417	50083
phase_b	clic-validation-072	low-latency	1945	1292	2512940	48	35	39	25	44	47	33	16	16	15	5704026	5749108	5725958	45082	21932	91625	24083	99042	34583
phase_b	clic-validation-073	compact	2040	1360	2774400	176	95	88	45	99	93	65	38	29	28	7178514	7169086	7238640	-9428	60126	346000	42250	360208	52167
phase_b	clic-validation-073	low-latency	2040	1360	2774400	48	27	27	16	31	31	22	14	8	11	7211752	7278398	7270974	66646	59222	91250	24209	97500	31083
phase_b	clic-validation-074	compact	1750	1166	2040500	140	55	60	23	56	63	30	18	7	9	5322948	5401416	5374058	78468	51110	263917	27167	269667	32375
phase_b	clic-validation-074	low-latency	1750	1166	2040500	35	13	15	6	13	14	6	8	2	5	5084390	5503852	5465848	419462	381458	66458	18000	71250	20875
phase_b	clic-validation-075	compact	2048	1370	2805760	176	140	137	53	155	158	149	26	18	14	7194564	7151560	7131966	-43004	-62598	356791	34333	372000	45625
phase_b	clic-validation-075	low-latency	2048	1370	2805760	48	41	41	11	40	40	22	16	11	9	7239090	7182162	7250804	-56928	11714	108375	24333	95375	27125
phase_b	clic-validation-076	compact	2048	1365	2795520	176	118	118	51	153	160	119	27	23	21	6453086	6472554	6439718	19468	-13368	352292	38167	353334	48458
phase_b	clic-validation-076	low-latency	2048	1365	2795520	48	36	37	20	43	43	48	16	15	16	6423696	6519914	6447798	96218	24102	91084	24000	96084	28416
phase_b	clic-validation-077	compact	2048	1365	2795520	176	86	85	35	128	99	127	25	16	18	5599902	5652182	5672342	52280	72440	331666	34125	345666	46709
phase_b	clic-validation-077	low-latency	2048	1365	2795520	48	25	26	13	38	32	32	16	11	13	5607562	5707980	5685580	100418	78018	91083	24292	95375	28125
phase_b	clic-validation-078	compact	1936	1220	2361920	160	133	124	86	151	149	133	32	27	25	5704512	5831124	5788254	126612	83742	309625	31250	320583	51833
phase_b	clic-validation-078	low-latency	1936	1220	2361920	40	38	35	24	38	40	27	16	13	11	5829980	5862690	5846240	32710	16260	76250	20583	81333	23708
phase_b	clic-validation-079	compact	1145	1725	1975125	126	70	57	37	116	90	107	24	19	19	4473714	4487412	4471564	13698	-2150	247958	24583	267167	38125
phase_b	clic-validation-079	low-latency	1145	1725	1975125	35	26	24	12	34	33	26	14	12	11	4555170	4546048	4540506	-9122	-14664	66667	17833	69625	19875
phase_b	clic-validation-080	compact	2048	1365	2795520	176	122	125	52	131	125	98	21	15	10	6574580	6443326	6473754	-131254	-100826	345375	34417	352250	42708
phase_b	clic-validation-080	low-latency	2048	1365	2795520	48	35	35	13	35	33	30	12	8	8	6602440	6626232	6572908	23792	-29532	90584	24167	95542	26250
phase_b	clic-validation-081	compact	2048	1365	2795520	176	82	82	25	92	88	50	19	15	14	5779970	5800622	5733172	20652	-46798	331333	39125	350750	43708
phase_b	clic-validation-081	low-latency	2048	1365	2795520	48	31	32	11	35	33	25	15	10	11	5682374	5892314	5797786	209940	115412	91250	24417	94709	31750
phase_b	clic-validation-082	compact	960	640	614400	40	34	33	16	32	34	28	14	9	6	1512228	1513734	1518794	1506	6566	75583	7833	77917	9541
phase_b	clic-validation-082	low-latency	960	640	614400	12	9	10	6	9	10	12	7	7	3	1515288	1515130	1524550	-158	9262	22708	6250	23708	6750
phase_b	clic-validation-083	compact	2048	1365	2795520	176	112	110	51	138	134	110	27	25	21	6906868	6797340	6768054	-109528	-138814	332417	34625	370541	52750
phase_b	clic-validation-083	low-latency	2048	1365	2795520	48	32	34	14	40	43	32	16	15	12	6884388	6828492	6869156	-55896	-15232	104500	24333	103625	28000
