
running 1 test
p16	id	profile	rgba_bytes	blocks	counter_init_ns	counter_update_ns	counter_updates	counter_storage_bytes	self_cost_ns	e_proposal_ns	b_proposal_ns	e_cost_ns	b_cost_ns	p15_reassignment_ns	p15_rebuild_ns	refined_cost_ns	selection_ns	e_merge_updates	b_merge_updates	refined_merge_updates	split_merge_updates	retained_plan_bytes	e_bits	e_payload_bytes	e_riff_bytes	e_groups	b_bits	b_payload_bytes	b_riff_bytes	b_groups	refined_bits	refined_payload_bytes	refined_riff_bytes	refined_groups	split_bits	split_payload_bytes	split_riff_bytes	split_groups	single_riff_bytes	control_riff_bytes	initial_kind	selected_kind	final_kind	final_riff_bytes	final_hash	growth_steps	public_exact	eb_selector_exact	final_selector_exact
p16-step	id	profile	iteration	before_groups	resulting_groups	source_group	seed_one	seed_two	regret	seed_penalty	old_partition_blocks	new_partition_blocks	regret_ns	seed_ns	partition_ns	split_rebuild_ns	split_ns	reassignment_ns	rebuild_ns	exact_cost_ns	before_riff_bytes	candidate_riff_bytes	riff_delta	accepted	assignments_stable
p16-step	clic-validation-001	compact	24	49	50	33	16	108	34458	24394	1	2	674583	42583	39458	95458	852208	1933125	103833	1068291	5819938	5815760	-4178	1	0
p16-step	clic-validation-001	compact	25	50	51	26	7	6	34071	28547	4	1	649792	81166	112042	94500	937542	1900500	100333	955167	5815760	5813814	-1946	1	0
p16-step	clic-validation-001	compact	26	51	52	18	19	23	33281	33671	1	1	711708	16208	5916	111375	845375	1991625	90875	1006542	5813814	5809606	-4208	1	0
p16-step	clic-validation-001	compact	27	52	53	43	43	52	32244	25426	6	4	613333	188375	349000	87458	1238250	1966500	90125	963833	5809606	5791956	-17650	1	0
p16-step	clic-validation-001	compact	28	53	54	2	142	66	31672	50570	4	1	617667	76292	113625	85417	893084	2056625	107000	1172125	5791956	5786374	-5582	1	0
p16-step	clic-validation-001	compact	29	54	55	26	7	116	30705	22481	3	1	725417	60583	75083	94000	955209	2064208	98959	1040792	5786374	5779058	-7316	1	0
p16-step	clic-validation-001	compact	30	55	56	30	85	71	29727	39373	2	7	629917	182291	327000	91250	1230542	2065167	96500	1154292	5779058	5775042	-4016	1	0
p16-step	clic-validation-001	compact	31	56	57	38	15	50	28749	22290	3	1	691583	55708	68333	102917	918667	2031125	92667	1024709	5775042	5770218	-4824	1	0
p16-step	clic-validation-001	compact	32	57	58	29	74	22	28577	21028	2	1	654250	46667	43375	85959	830375	2062917	89666	1050125	5770218	5764076	-6142	1	0
p16-step	clic-validation-001	compact	33	58	59	28	128	133	27349	25232	2	3	761125	72667	92584	101750	1028209	2157792	107958	1167333	5764076	5760102	-3974	1	0
p16-step	clic-validation-001	compact	34	59	60	2	142	80	27063	22484	1	3	686916	61125	80625	94750	923541	2087334	104333	1072834	5760102	5757006	-3096	1	0
p16-step	clic-validation-001	compact	35	60	61	48	112	113	25856	21971	1	3	666000	57209	72375	90416	886083	2182458	134291	1323500	5757006	5754260	-2746	1	0
p16-step	clic-validation-001	compact	36	61	62	14	88	73	24911	20345	1	1	753208	26125	1167	95125	875750	2272292	103584	1206708	5754260	5751718	-2542	1	0
p16-step	clic-validation-001	compact	37	62	63	7	110	124	24644	28413	2	2	713375	56625	73042	88541	931625	2182667	119084	1267250	5751718	5746360	-5358	1	0
p16-step	clic-validation-001	compact	38	63	64	30	26	85	24359	22543	2	1	803042	46791	43417	95417	988709	2189917	94333	1169291	5746360	5742976	-3384	1	0
p16	clic-validation-001	low-latency	9437184	40	4375	4806292	9398430	168480	1259042	106750	47375	260541	246000	317625	23417	246542	1791	16334	16334	16334	16334	225784	50528909	6316114	6316134	12	50661167	6332646	6332666	11	50393004	6299126	6299146	12	49354678	6169335	6169356	16	6492644	6309214	R	Split	Split	6169356	3feec2167c55bb2d	4	1	1	1
p16-step	clic-validation-001	low-latency	1	12	13	0	31	11	216589	227751	5	7	161417	232125	485625	35334	914667	385584	26917	330917	6299146	6232120	-67026	1	0
p16-step	clic-validation-001	low-latency	2	13	14	1	0	18	155983	181161	2	3	185583	106041	144708	27375	467291	383875	26042	298334	6232120	6208366	-23754	1	0
p16-step	clic-validation-001	low-latency	3	14	15	2	34	23	151431	160673	2	4	236500	117709	179042	24625	558084	381500	25667	303833	6208366	6180552	-27814	1	0
p16-step	clic-validation-001	low-latency	4	15	16	12	3	12	125701	171228	2	5	194750	134875	223083	23500	576292	388041	25125	316417	6180552	6169356	-11196	1	0
p16	clic-validation-002	compact	9437184	144	13000	4973583	9434830	304416	3663792	385167	130625	464625	432792	1049291	88708	463708	3666	36936	36936	36936	36936	571272	47427354	5928420	5928440	22	47752881	5969111	5969132	21	47086641	5885831	5885852	22	41776806	5222101	5222122	64	7003512	5799410	R	Split	Split	5222122	c0fa268acccaa876	42	1	1	1
p16-step	clic-validation-002	compact	1	22	23	3	17	40	118618	120383	5	8	353333	228791	430209	102625	1115083	1125167	91083	460334	5885852	5821466	-64386	1	0
p16-step	clic-validation-002	compact	2	23	24	0	78	50	115101	92260	10	16	354209	463500	979042	88833	1885667	1073833	94250	487792	5821466	5725316	-96150	1	0
p16-step	clic-validation-002	compact	3	24	25	4	24	38	101824	108028	12	2	360833	188000	400208	86583	1035708	1077208	88875	464916	5725316	5625344	-99972	1	0
p16-step	clic-validation-002	compact	4	25	26	6	31	47	94718	94194	1	7	371916	151583	246250	90583	860458	1083458	89333	534417	5625344	5614006	-11338	1	0
p16-step	clic-validation-002	compact	5	26	27	14	96	128	88165	85657	2	2	483792	75959	89416	90125	739417	1105916	87667	533584	5614006	5600242	-13764	1	0
p16-step	clic-validation-002	compact	6	27	28	10	133	130	78089	74267	1	7	372334	137708	232000	88416	830542	1114875	90833	503125	5600242	5591064	-9178	1	0
p16-step	clic-validation-002	compact	7	28	29	8	74	73	67415	61967	3	2	376833	67041	102917	89500	636416	1130417	91708	526250	5591064	5567526	-23538	1	0
p16-step	clic-validation-002	compact	8	29	30	0	77	79	63522	70752	14	1	381625	202000	393209	93417	1070417	1147750	91791	688417	5567526	5531320	-36206	1	0
p16-step	clic-validation-002	compact	9	30	31	23	76	89	62687	57472	1	15	433667	355542	604583	100250	1494125	1276541	92250	617917	5531320	5524068	-7252	1	0
p16-step	clic-validation-002	compact	10	31	32	5	143	140	60128	59982	4	3	399792	111166	185708	94125	790875	1206000	91416	559209	5524068	5496480	-27588	1	0
p16-step	clic-validation-002	compact	11	32	33	26	93	128	50108	50159	1	1	399458	28333	4625	86875	519375	1200041	86792	575625	5496480	5490210	-6270	1	0
p16-step	clic-validation-002	compact	12	33	34	3	17	66	47340	70246	2	3	429167	67541	92958	98875	688625	1378583	113709	715250	5490210	5469090	-21120	1	0
