
running 1 test
p16	id	profile	rgba_bytes	blocks	counter_init_ns	counter_update_ns	counter_updates	counter_storage_bytes	self_cost_ns	e_proposal_ns	b_proposal_ns	e_cost_ns	b_cost_ns	p15_reassignment_ns	p15_rebuild_ns	refined_cost_ns	selection_ns	e_merge_updates	b_merge_updates	refined_merge_updates	split_merge_updates	retained_plan_bytes	e_bits	e_payload_bytes	e_riff_bytes	e_groups	b_bits	b_payload_bytes	b_riff_bytes	b_groups	refined_bits	refined_payload_bytes	refined_riff_bytes	refined_groups	split_bits	split_payload_bytes	split_riff_bytes	split_groups	single_riff_bytes	control_riff_bytes	initial_kind	selected_kind	final_kind	final_riff_bytes	final_hash	growth_steps	public_exact	eb_selector_exact	final_selector_exact
p16-step	id	profile	iteration	before_groups	resulting_groups	source_group	seed_one	seed_two	regret	seed_penalty	old_partition_blocks	new_partition_blocks	regret_ns	seed_ns	partition_ns	split_rebuild_ns	split_ns	reassignment_ns	rebuild_ns	exact_cost_ns	before_riff_bytes	candidate_riff_bytes	riff_delta	accepted	assignments_stable
p16-step	clic-validation-002	compact	1	22	23	3	17	40	118618	120383	5	8	395041	301375	471417	101333	1269208	1098792	88750	480583	5885852	5821466	-64386	1	0
p16-step	clic-validation-002	compact	2	23	24	0	78	50	115101	92260	10	16	365625	499625	1078542	97083	2041000	1165333	94667	569333	5821466	5725316	-96150	1	0
p16-step	clic-validation-002	compact	3	24	25	4	24	38	101824	108028	12	2	415792	212125	432000	111583	1171667	1194375	91917	529708	5725316	5625344	-99972	1	0
p16-step	clic-validation-002	compact	4	25	26	6	31	47	94718	94194	1	7	383792	158791	257709	87584	887958	1119083	86834	535167	5625344	5614006	-11338	1	0
p16-step	clic-validation-002	compact	5	26	27	14	96	128	88165	85657	2	2	378458	66875	90500	99500	635375	1126375	83417	511500	5614006	5600242	-13764	1	0
p16-step	clic-validation-002	compact	6	27	28	10	133	130	78089	74267	1	7	368834	140459	261375	83125	853959	1227583	127791	595541	5600242	5591064	-9178	1	0
p16-step	clic-validation-002	compact	7	28	29	8	74	73	67415	61967	3	2	401875	71000	106083	99750	678750	1187417	87792	543917	5591064	5567526	-23538	1	0
p16-step	clic-validation-002	compact	8	29	30	0	77	79	63522	70752	14	1	380625	208750	409166	85834	1084375	1175500	86875	558917	5567526	5531320	-36206	1	0
p16-step	clic-validation-002	compact	9	30	31	23	76	89	62687	57472	1	15	385334	351958	615416	84792	1437584	1218125	100042	712334	5531320	5524068	-7252	1	0
p16-step	clic-validation-002	compact	10	31	32	5	143	140	60128	59982	4	3	482667	120083	201000	113833	917667	1326541	95625	684583	5524068	5496480	-27588	1	0
p16-step	clic-validation-002	compact	11	32	33	26	93	128	50108	50159	1	1	438583	34375	5791	100792	579666	1306459	110208	692250	5496480	5490210	-6270	1	0
p16-step	clic-validation-002	compact	12	33	34	3	17	66	47340	70246	2	3	443500	68375	91875	103583	707458	1329125	97791	639667	5490210	5469090	-21120	1	0
p16-step	clic-validation-002	compact	13	34	35	0	82	85	46902	35924	10	5	428500	216084	427084	117250	1189083	1397083	98917	725875	5469090	5448616	-20474	1	0
p16-step	clic-validation-002	compact	14	35	36	30	112	49	46333	17421	11	4	444625	322958	590166	88917	1446833	1326709	87041	669583	5448616	5419312	-29304	1	0
p16-step	clic-validation-002	compact	15	36	37	2	18	6	42269	60072	1	16	467000	230875	461208	92708	1251875	1359625	100666	675750	5419312	5413758	-5554	1	0
p16-step	clic-validation-002	compact	16	37	38	27	132	130	40114	37951	1	6	436709	124459	287958	118833	968042	1501000	94000	783666	5413758	5409326	-4432	1	0
p16-step	clic-validation-002	compact	17	38	39	7	100	127	39416	38732	2	2	520208	89500	108208	97250	815333	1538709	87084	736375	5409326	5405012	-4314	1	0
p16-step	clic-validation-002	compact	18	39	40	0	113	64	37511	23027	5	5	462958	136750	232041	85625	917500	1424125	97250	756917	5405012	5386988	-18024	1	0
p16-step	clic-validation-002	compact	19	40	41	4	27	19	37249	18853	9	3	467708	158125	296583	137708	1060208	1604166	91875	863250	5386988	5370668	-16320	1	0
p16-step	clic-validation-002	compact	20	41	42	14	96	99	35290	39045	1	1	497625	24375	4458	89333	615917	1442875	85875	750542	5370668	5365788	-4880	1	0
p16-step	clic-validation-002	compact	21	42	43	36	2	15	34878	48639	13	3	473125	229958	420708	83917	1207750	1438167	91708	740959	5365788	5360178	-5610	1	0
p16-step	clic-validation-002	compact	22	43	44	36	2	8	34120	24349	6	7	485916	181833	371250	105333	1144458	1610000	92917	856125	5360178	5330652	-29526	1	0
p16-step	clic-validation-002	compact	23	44	45	1	104	134	32580	27328	6	8	498625	273833	482833	91334	1346750	1473542	88500	796417	5330652	5318108	-12544	1	0
p16-step	clic-validation-002	compact	24	45	46	4	29	23	30617	30341	4	5	502042	118416	199917	89000	909500	1511417	90042	818042	5318108	5296504	-21604	1	0
p16-step	clic-validation-002	compact	25	46	47	38	127	111	28704	25112	1	1	602750	62334	6292	92792	764333	1513500	84708	857167	5296504	5293364	-3140	1	0
p16-step	clic-validation-002	compact	26	47	48	9	55	126	28098	31477	1	2	533708	56167	52292	91416	733583	1556208	98625	921458	5293364	5288606	-4758	1	0
