
running 1 test
phase_a	id	profile	width	height	pixels	tokens	literals	copies	caches	blocks	groups	candidate_won	production_exact	residual_ns	tokenization_ns	block_census_ns	seed_rank_assign_ns	group_frequency_ns	table_build_ns	packed_writer_ns	wrap_compare_ns	bytes	stream_hash
phase_a	clic-validation-047	compact	2016	1512	3048192	3019936	3012320	7616	0	192	52	1	1	7404833	10912458	34798000	45958	9389542	2703541	40816709	160541	7957054	946ad2afdb6f128c
phase_a	clic-validation-047	low-latency	2016	1512	3048192	3019936	3012320	7616	0	48	16	1	1	7444125	11117875	34696959	10792	9020666	2111625	39222250	167375	8191412	3bf25bdece1d9287
phase_a	clic-validation-048	compact	2024	1518	3072432	3047721	3038641	9080	0	192	34	1	1	7709208	10351375	29697958	32125	9165959	2414750	40072208	146500	7906474	fde4f17e259d3ea7
phase_a	clic-validation-048	low-latency	2024	1518	3072432	3047721	3038641	9080	0	48	16	1	1	7437500	10561542	29972625	7417	8876875	1993667	39564166	147542	7848440	5ef837660d6a9be4
phase_a	clic-validation-049	compact	2016	1512	3048192	2951037	2918352	32685	0	192	46	1	1	7338250	11730792	28502708	43083	9671083	2673875	39628542	161750	7822290	1af2f745efbcd0a1
phase_a	clic-validation-049	low-latency	2016	1512	3048192	2951037	2918352	32685	0	48	16	1	1	7452917	11909416	28163542	10250	9063292	2099500	38165459	159375	8108738	9318ded65bfad8db
phase_a	clic-validation-050	compact	1512	2016	3048192	2767844	2705621	62223	0	192	39	1	1	7431000	10999750	26438750	33834	9442959	2733292	37324917	174542	7378716	f3471e5f5f5368ed
phase_a	clic-validation-050	low-latency	1512	2016	3048192	2767844	2705621	62223	0	48	16	1	1	7469917	10855791	26010375	8958	9143875	2170625	36981125	185666	7478216	9b2252deaf3aaede
phase_a	clic-validation-051	compact	2024	1518	3072432	3070044	3069328	716	0	192	51	1	1	7415542	9649542	23320667	42375	9127792	3046209	41353541	180333	8580442	0e60d4b7f49b078a
phase_a	clic-validation-051	low-latency	2024	1518	3072432	3070044	3069328	716	0	48	16	1	1	7719333	9726167	23008542	8250	8936875	2045500	39758500	187834	8648696	0163d8d4eda3311b
phase_a	clic-validation-052	compact	2024	1518	3072432	3046525	3036788	9737	0	192	43	1	1	7573958	10664625	30129000	34167	9370041	2559667	40191166	175292	7718096	e7ee77236c497597
phase_a	clic-validation-052	low-latency	2024	1518	3072432	3046525	3036788	9737	0	48	16	1	1	7400917	10757417	30171542	10416	8890584	2239166	38660333	199000	7997574	dfc55b1cbdc781b8
phase_a	clic-validation-053	compact	1518	2024	3072432	3033821	3018822	14999	0	192	27	1	1	7486792	11908333	33259208	27000	9401916	2279875	41466334	176416	7672802	46fa782cc9e95d80
phase_a	clic-validation-053	low-latency	1518	2024	3072432	3033821	3018822	14999	0	48	16	1	1	7677834	11884750	34070708	9666	9350542	2016583	39824958	185875	7683910	7a7d572313b0908c
phase_a	clic-validation-054	compact	1518	2024	3072432	2978804	2952755	26049	0	192	32	1	1	7615250	12190125	33923708	28000	9584875	2385584	40394583	132417	7105098	e2dc8d6b7d449bd1
phase_a	clic-validation-054	low-latency	1518	2024	3072432	2978804	2952755	26049	0	48	16	1	1	7736292	11979542	33199208	8666	9031542	1994500	46336000	147959	7334782	e144efa73bdd5386
phase_a	clic-validation-055	compact	2024	1518	3072432	3006434	2991399	15035	0	192	19	1	1	7629541	11485458	29329625	19709	9431042	2055041	40371167	151584	7806344	319c8bc631d8e3c5
phase_a	clic-validation-055	low-latency	2024	1518	3072432	3006434	2991399	15035	0	48	16	1	1	7570625	11525458	28922459	11750	9154334	2175791	39201417	173583	7568426	a8f3c529eb969d66
phase_a	clic-validation-056	compact	1632	1224	1997568	1994393	1993391	1002	0	130	30	1	1	4934875	6245000	19872042	22250	6156583	1712208	26996375	96334	5090268	6aafc02c59cdc96d
phase_a	clic-validation-056	low-latency	1632	1224	1997568	1994393	1993391	1002	0	35	16	1	1	4795958	6354333	19398042	6125	5899250	1423833	25965500	148208	5167842	4c98d5b956b4dd89
phase_a	clic-validation-057	compact	1224	1632	1997568	1993709	1992348	1361	0	130	38	1	1	4987833	6596666	23131500	24917	6281375	1859292	26908625	129000	5021628	8a91fd978f9e20ae
phase_a	clic-validation-057	low-latency	1224	1632	1997568	1993709	1992348	1361	0	35	16	1	1	4968500	6589042	22728625	6792	5922750	1484000	25722125	107375	5152288	9e66e442c3a7008d
phase_a	clic-validation-058	compact	1632	1224	1997568	1952755	1938072	14683	0	130	30	1	1	4847459	7743666	19957208	32375	6303250	1869250	25879333	108791	4943622	f0d98ea340e5cc36
phase_a	clic-validation-058	low-latency	1632	1224	1997568	1952755	1938072	14683	0	35	15	1	1	4998459	7708542	19840917	8250	6169375	1511625	26006250	146125	4935030	c9a567ae5428fb24
phase_a	clic-validation-059	compact	1632	1224	1997568	1502206	1496688	5518	0	130	24	1	1	5039917	5742750	17283584	17333	4706958	1393500	20655500	71667	3595402	69adcfc255381ad9
phase_a	clic-validation-059	low-latency	1632	1224	1997568	1502206	1496688	5518	0	35	15	1	1	4907208	5618625	17550208	7791	4793625	1412417	19890542	83209	3675422	a52385b5f9ece816
phase_a	clic-validation-060	compact	1224	1632	1997568	1870671	1852650	18021	0	130	24	1	1	4963417	6820458	20942500	19000	6071750	1559250	26671875	92750	4515910	7078bde68f18facd
phase_a	clic-validation-060	low-latency	1224	1632	1997568	1870671	1852650	18021	0	35	11	1	1	5078125	6749292	21312417	12667	6308333	1432625	26172500	93250	4575774	054b76e5a1cdac46
phase_a	clic-validation-061	compact	2048	1363	2791424	2774823	2773842	981	0	176	29	1	1	7053084	8829584	18811750	31416	8492750	2302708	38373250	147292	7438600	6fb544971c631800
phase_a	clic-validation-061	low-latency	2048	1363	2791424	2774823	2773842	981	0	48	16	1	1	10044125	17148208	61674625	31709	9167542	2228209	37657167	139666	7429254	fa2702cc5aaf2ddb
phase_a	clic-validation-062	compact	2048	1339	2742272	2400137	2389122	11015	0	176	32	1	1	6931542	8724042	26897292	29834	7529125	2272708	32889209	121875	6121602	3b8b548c5a6bbb91
phase_a	clic-validation-062	low-latency	2048	1339	2742272	2400137	2389122	11015	0	48	15	1	1	6957083	8547583	26871750	8666	7293458	1994708	31689542	117875	6162162	2fa0fd35233306cc
phase_a	clic-validation-063	compact	2048	1188	2433024	2410183	2406731	3452	0	160	51	1	1	5876583	7727542	24030584	38333	7253875	2448042	32102958	127583	6445414	41c775829e8b5abc
phase_a	clic-validation-063	low-latency	2048	1188	2433024	2410183	2406731	3452	0	40	16	1	1	6030083	7827458	23683500	13708	7227250	1836375	30997541	129583	6534318	b29de0471512ce00
phase_a	clic-validation-064	compact	2048	1361	2787328	2756615	2752692	3923	0	176	63	1	1	6841250	8619958	20445625	45291	8485042	2871791	36935625	143000	7719328	70798c125f7a0677
phase_a	clic-validation-064	low-latency	2048	1361	2787328	2756615	2752692	3923	0	48	16	1	1	6619125	8620833	20083375	11041	7991625	1931667	35554834	146750	7878280	5a610d2a29025872
phase_a	clic-validation-065	compact	2048	1365	2795520	2793342	2792333	1009	0	176	24	1	1	6676791	9199042	26296041	22417	8391792	1999291	37786333	129625	6898214	fd7603d18be8a42d
phase_a	clic-validation-065	low-latency	2048	1365	2795520	2793342	2792333	1009	0	48	12	1	1	6619500	8841042	25867250	7833	7964125	1835458	35259292	182583	6856728	26f38f7f8712f763
phase_a	clic-validation-066	compact	1632	915	1493280	1388170	1363043	25127	0	104	26	1	1	3712917	6240125	14259875	16584	4509459	1399333	18870167	73666	3437954	6d29c0af326ae338
phase_a	clic-validation-066	low-latency	1632	915	1493280	1388170	1363043	25127	0	28	16	1	1	3512584	5863625	14572834	6834	4667459	1167125	18264250	65208	3463560	2c6ff3c287bff9bd
