
running 1 test
exact	id	profile	bytes	stream_hash	predicted_bits	written_bits	predicted_payload_bytes	predicted_riff_bytes	single_actual_riff_bytes	estimate_exact	losing_single_main_written	estimator_fallback	candidate_won	control_exact
exact	clic-validation-094	low-latency	6119372	de8a7115a3089a84	54814377	54814377	6851798	6851818	6851818	1	0	0	1	1
exact	clic-validation-095	compact	2710854	035359020e6fe88d	23788358	23788358	2973545	2973566	2973566	1	0	0	1	1
exact	clic-validation-095	low-latency	2736452	c28db55d1630dcc2	23788358	23788358	2973545	2973566	2973566	1	0	0	1	1
exact	clic-validation-096	compact	794174	7f8f03a046c6abcd	6748275	6748275	843535	843556	843556	1	0	0	1	1
exact	clic-validation-096	low-latency	797744	e278ba2e39a76a5d	6748275	6748275	843535	843556	843556	1	0	0	1	1
test encoder::product_benchmark_tests::product_validation_reproducer has been running for over 60 seconds
exact	clic-validation-097	compact	4853630	ec4179a61bedf764	43365127	43365127	5420641	5420662	5420662	1	0	0	1	1
exact	clic-validation-097	low-latency	4881750	8a95578a10aa252c	43365127	43365127	5420641	5420662	5420662	1	0	0	1	1
exact	clic-validation-098	compact	7500734	b429e1e43849874a	62172482	62172482	7771561	7771582	7771582	1	0	0	1	1
exact	clic-validation-098	low-latency	7582970	154a05b8e087018e	62172482	62172482	7771561	7771582	7771582	1	0	0	1	1
exact	clic-validation-099	compact	3909204	376246ff0a35b910	32681163	32681163	4085146	4085166	4085166	1	0	0	1	1
exact	clic-validation-099	low-latency	3924250	4c18be5a9f1ddb41	32681163	32681163	4085146	4085166	4085166	1	0	0	1	1
exact	clic-validation-100	compact	5764820	29f4e1bb58ccdde5	53815984	53815984	6726998	6727018	6727018	1	0	0	1	1
exact	clic-validation-100	low-latency	6078404	6a1f1481453388be	53815984	53815984	6726998	6727018	6727018	1	0	0	1	1
exact	clic-validation-101	compact	6502912	6281b57bf711d259	56482142	56482142	7060268	7060288	7060288	1	0	0	1	1
exact	clic-validation-101	low-latency	6552670	3e99e1504d356f64	56482142	56482142	7060268	7060288	7060288	1	0	0	1	1
test encoder::product_benchmark_tests::product_validation_reproducer ... ok

test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 28 filtered out; finished in 62.71s

