
running 1 test
p15	id	profile	rgba_bytes	blocks	counter_init_ns	counter_update_ns	counter_updates	counter_storage_bytes	e_proposal_ns	b_proposal_ns	e_cost_ns	b_cost_ns	reassignment_ns	rebuild_ns	refined_cost_ns	final_selection_ns	e_merge_updates	b_merge_updates	refined_merge_updates	e_groups	b_groups	refined_groups	retained_plan_bytes	initial	final	ordered_bytes	single_bytes	control_bytes	e_bits	e_payload_bytes	e_riff_bytes	b_bits	b_payload_bytes	b_riff_bytes	refined_bits	refined_payload_bytes	refined_riff_bytes	final_bytes	final_hash	public_exact
p15	clic-validation-020	low-latency	9445376	40	2458	5575542	9374838	167840	112834	69000	310083	232250	364125	28584	289625	42	18907	18907	18907	13	10	13	159384	E	R	6430820	6827556	6430820	51146394	6393300	6393320	52042228	6505279	6505300	50875608	6359451	6359472	6359472	8ad30a20954954ed	1
p15	clic-validation-021	compact	7834368	130	3125	4668000	7668226	272740	353292	106542	415417	404459	801084	77500	436792	0	25139	25139	25139	22	21	21	283526	B	R	4565070	5339060	4565070	37942128	4742766	4742786	37762782	4720348	4720368	36803291	4600412	4600432	4600432	b61838b80a2f6b2c	1
p15	clic-validation-021	low-latency	7834368	35	1292	4701750	7668226	146860	97458	42000	258500	234458	336958	26500	302625	0	9863	9863	9863	13	13	13	172641	B	R	4693378	5339060	4693378	38548924	4818616	4818636	38377021	4797128	4797148	38038667	4754834	4754854	4754854	5c5ba6cd8b05f7ca	1
p15	clic-validation-022	compact	9445376	160	4042	6016458	9326994	335680	420125	133166	420125	334625	1375959	92917	413917	42	26010	26010	26010	23	18	23	283616	E	R	5628196	6415554	5628196	44705480	5588185	5588206	45306647	5663331	5663352	41738692	5217337	5217358	5217358	170bf3f75b57a5ac	1
p15	clic-validation-022	low-latency	9445376	40	3583	6130333	9326994	167840	128750	54833	278792	202042	350458	27125	260292	42	9837	9837	9837	13	10	13	159384	E	R	5628318	6415554	5628318	44784153	5598020	5598040	46271421	5783928	5783948	44277476	5534685	5534706	5534706	46334efff9e3cd0e	1
p15	clic-validation-023	compact	9445376	160	3667	5740125	9405916	335680	430209	146208	728750	620958	1843042	112250	643333	0	38316	38316	38316	36	32	32	442880	B	R	5856188	6765154	5856188	46316184	5789523	5789544	46122207	5765276	5765296	44705278	5588160	5588180	5588180	c3aa95790988458e	1
p15	clic-validation-023	low-latency	9445376	40	3083	5641458	9405916	167840	112833	49375	339333	324208	413667	28500	325333	0	12799	12799	12799	16	16	16	212472	B	R	5979252	6765154	5979252	46672225	5834029	5834050	46149297	5768663	5768684	45603697	5700463	5700484	5700484	40d3c4d1ba9b054f	1
p15	clic-validation-024	compact	12192768	192	6125	7772709	11783030	402816	501958	160292	516458	539083	1475792	116625	484833	125	44696	44696	44696	25	27	25	341224	E	R	7349344	7803852	7349344	58898294	7362287	7362308	58990604	7373826	7373846	57216513	7152065	7152086	7152086	b7312f92f4752452	1
p15	clic-validation-024	low-latency	12192768	48	2708	7681333	11783030	201408	142500	64292	371083	278791	440042	32833	358750	0	14978	14978	14978	16	14	16	203648	E	R	7363364	7803852	7363364	59477639	7434705	7434726	60039161	7504896	7504916	57967250	7245907	7245928	7245928	5d509b5377a7fe35	1
p15	clic-validation-025	compact	12192768	192	4916	7436833	11706164	402816	566667	199000	546667	583208	1699041	133375	542834	41	65879	65879	65879	24	27	24	332376	E	R	7869586	8753828	7869586	63776534	7972067	7972088	64014131	8001767	8001788	61065704	7633213	7633234	7633234	2f0845b0a19612fd	1
