
running 1 test
phase_a	id	profile	width	height	pixels	tokens	literals	copies	caches	blocks	signature_differences	assignment_differences	ordered_groups	exact_groups	ordered_candidate_bytes	exact_candidate_bytes	candidate_byte_delta	ordered_product_bytes	exact_product_bytes	product_byte_delta	ordered_candidate_ns	exact_candidate_ns	ordered_product_ns	exact_product_ns	ordered_plan_ns	initialization_ns	update_ns	signature_cluster_ns	merge_ns	update_count	merge_updates	storage_bytes
phase_a	clic-validation-024	low-latency	1512	2016	3048192	2961766	2929749	32017	0	48	37	35	16	16	7363364	7434726	71362	7363364	7434726	71362	71553541	36838208	91537250	56229000	33909458	2625	8336834	97375	31625	11783030	14978	201408
phase_a	clic-validation-025	compact	2016	1512	3048192	2943744	2909338	34406	0	192	138	173	40	24	7869586	7972088	102502	7869586	7972088	102502	72076584	38524708	91547541	57565541	32879209	3584	8253084	448458	139500	11706164	65879	402816
phase_a	clic-validation-025	low-latency	2016	1512	3048192	2943744	2909338	34406	0	48	39	46	16	16	8063140	7956848	-106292	8063140	7956848	-106292	69956375	36181750	89089708	55418083	32274208	1750	8449666	96042	36958	11706164	21895	201408
phase_a	clic-validation-026	compact	1520	2048	3112960	3110495	3109449	1046	0	192	143	171	37	26	8259084	8240330	-18754	8259084	8240330	-18754	73659208	39242250	95258334	57739708	32266500	3666	8594042	382667	117083	12439888	61095	402816
phase_a	clic-validation-026	low-latency	1520	2048	3112960	3110495	3109449	1046	0	48	34	41	16	15	8349358	8267712	-81646	8349358	8267712	-81646	70782250	37440958	90293292	55911583	31958625	1916	8380250	99291	32500	12439888	18992	201408
phase_a	clic-validation-027	compact	1496	2000	2992000	2980276	2975192	5084	0	192	88	97	20	15	6933844	7028920	95076	6933844	7028920	95076	75104542	37997875	93910167	56931375	36556250	3666	8223167	382416	94167	11910936	20780	402816
phase_a	clic-validation-027	low-latency	1496	2000	2992000	2980276	2975192	5084	0	48	26	35	10	7	7076126	7135708	59582	7076126	7135708	59582	74731708	36775958	92906250	54869500	36263875	2041	8216709	94083	26167	11910936	7441	201408
phase_a	clic-validation-028	compact	2000	1496	2992000	2976290	2969360	6930	0	192	58	79	16	14	7265392	7350296	84904	7265392	7350296	84904	73684708	37769333	93004083	56744750	34650250	3917	8288750	381083	100125	11891300	22954	402816
phase_a	clic-validation-028	low-latency	2000	1496	2992000	2976290	2969360	6930	0	48	20	23	6	6	7360348	7338048	-22300	7360348	7338048	-22300	72652875	36395375	91237417	55791500	34230708	2292	8177875	97292	29541	11891300	9015	201408
phase_a	clic-validation-029	compact	1512	2016	3048192	2537893	2419496	118397	0	192	112	166	24	20	6107890	6051300	-56590	6107890	6051300	-56590	67027500	36797916	88334250	57844041	32279625	3750	8293167	386250	105792	9914778	32188	402816
phase_a	clic-validation-029	low-latency	1512	2016	3048192	2537893	2419496	118397	0	48	30	41	16	10	6030840	6260622	229782	6030840	6260622	229782	65967792	34564583	86779917	55713084	32236500	4792	8193041	98417	29541	9914778	11866	201408
phase_a	clic-validation-030	compact	2000	1496	2992000	2949694	2936137	13557	0	192	132	147	51	29	8257108	8343220	86112	8257108	8343220	86112	72494417	36921250	91596292	54967125	33322583	3875	8200666	406958	158666	11771662	82352	402816
phase_a	clic-validation-030	low-latency	2000	1496	2992000	2949694	2936137	13557	0	48	34	34	16	16	8705786	8571114	-134672	8705786	8571114	-134672	70203500	34520084	89317250	53299292	32793625	2125	8151041	96125	37958	11771662	28376	201408
phase_a	clic-validation-031	compact	1512	2016	3048192	2947066	2933749	13317	0	192	117	139	30	27	7174330	7252626	78296	7174330	7252626	78296	76339917	39954500	95621958	58585791	37479792	3709	8173791	385792	117041	11761630	39248	402816
phase_a	clic-validation-031	low-latency	1512	2016	3048192	2947066	2933749	13317	0	48	37	47	16	16	7277258	7252942	-24316	7277258	7252942	-24316	74890375	36846459	94136417	56105583	36471750	1834	8276750	96250	32542	11761630	14016	201408
phase_a	clic-validation-032	compact	2016	1512	3048192	2992912	2972925	19987	0	192	89	110	13	13	6915788	6892440	-23348	6915788	6892440	-23348	71048541	37608292	92856917	57827500	32853042	3917	8485333	402417	118416	11931674	36621	402816
phase_a	clic-validation-032	low-latency	2016	1512	3048192	2992912	2972925	19987	0	48	26	27	9	7	6987574	6909344	-78230	6987574	6909344	-78230	70730333	35533250	90463333	55709583	32407125	1917	8381291	97708	28542	11931674	12033	201408
